Customer_ID,Preferred_Data_GB,Preferred_Calls,Preferred_SMS,Preferred_Validity,Preferred_OTT,Budget_Range,Preferred_Speed
C00048,5.0,100,50,365,No OTT,High,5G
C00049,2.0,200,Unlimited,180,Amazon Prime,High,5G
C00050,2.0,100,50,28,No OTT,High,4G
C00051,1.5,100,100,28,Netflix,High,5G
C00052,5.0,200,200,180,Hotstar,High,4G
C00053,5.0,100,200,84,Netflix,Low,5G
C00054,1.0,Unlimited,100,180,No OTT,Medium,4G
C00055,1.5,100,100,28,Hotstar,Medium,5G
C00056,1.0,200,Unlimited,28,Netflix,High,4G
C00057,5.0,100,Unlimited,56,Amazon Prime,Low,5G
C00058,2.0,200,Unlimited,180,Hotstar,Medium,4G
C00059,2.0,Unlimited,200,365,No OTT,High,4G
C00060,1.0,100,100,84,No OTT,Low,5G
C00061,1.0,200,100,365,No OTT,Medium,4G
C00062,3.0,300,50,180,Amazon Prime,Medium,4G
C00063,5.0,300,200,180,No OTT,Low,5G
C00064,3.0,Unlimited,Unlimited,180,Amazon Prime,Low,4G
C00065,2.0,300,50,28,No OTT,High,4G
C00066,1.0,100,Unlimited,365,No OTT,High,5G
C00067,3.0,200,100,84,Netflix,Medium,4G
C00068,3.0,100,100,180,No OTT,Low,4G
C00069,1.0,Unlimited,100,56,Netflix,High,4G
C00070,2.0,100,Unlimited,84,No OTT,Low,5G
C00071,2.0,300,200,365,No OTT,High,5G
C00072,1.5,200,Unlimited,56,Hotstar,High,5G
C00073,5.0,100,Unlimited,28,No OTT,Medium,4G
C00074,1.0,100,Unlimited,56,Hotstar,High,4G
C00075,1.5,Unlimited,50,28,Amazon Prime,Low,5G
C00076,2.0,300,100,28,No OTT,Medium,5G
C00077,1.0,300,200,365,Hotstar,Medium,4G
C00078,2.0,100,50,56,Hotstar,Medium,4G
C00079,5.0,100,Unlimited,365,No OTT,High,4G
C00080,5.0,Unlimited,50,84,Netflix,Low,4G
C00081,5.0,300,200,84,Hotstar,High,4G
C00082,3.0,Unlimited,50,28,No OTT,Low,4G
C00083,1.0,Unlimited,Unlimited,28,No OTT,Low,4G
C00084,1.5,100,Unlimited,180,Amazon Prime,High,5G
C00085,1.0,300,200,365,Amazon Prime,Low,4G
C00086,5.0,200,200,56,Amazon Prime,Low,5G
C00087,5.0,Unlimited,100,84,Amazon Prime,Low,4G
C00088,1.5,100,200,180,No OTT,High,5G
C00089,1.5,300,200,56,Netflix,High,5G
C00090,2.0,300,100,28,Hotstar,High,5G
C00091,5.0,300,200,365,Amazon Prime,Medium,5G
C00092,5.0,300,Unlimited,84,Netflix,Low,4G
C00093,1.0,200,Unlimited,180,Amazon Prime,High,4G
C00094,5.0,Unlimited,100,84,Netflix,Low,5G
C00095,5.0,200,50,56,Amazon Prime,Low,4G
C00096,2.0,300,Unlimited,180,No OTT,Low,4G
C00097,1.0,Unlimited,Unlimited,28,No OTT,Low,4G
C00098,2.0,300,200,28,Netflix,Low,4G
C00099,1.0,Unlimited,200,365,No OTT,Medium,4G
C00100,1.5,200,Unlimited,180,No OTT,Medium,5G
C00101,3.0,200,200,28,No OTT,Low,4G
C00102,5.0,300,Unlimited,28,Hotstar,Medium,5G
C00103,5.0,100,100,28,No OTT,High,4G
C00104,1.0,200,Unlimited,56,No OTT,Low,5G
C00105,3.0,300,Unlimited,28,No OTT,High,5G
C00106,3.0,200,100,56,No OTT,Medium,5G
C00107,1.5,300,Unlimited,365,No OTT,High,5G
C00108,1.5,Unlimited,Unlimited,180,Hotstar,Low,4G
C00109,3.0,Unlimited,Unlimited,365,Hotstar,High,5G
C00110,2.0,100,200,84,No OTT,Low,4G
C00111,2.0,100,100,180,Amazon Prime,High,4G
C00112,3.0,200,200,180,No OTT,Medium,5G
C00113,1.0,Unlimited,200,56,No OTT,Low,4G
C00114,1.0,100,50,84,Netflix,Low,5G
C00115,5.0,200,50,180,No OTT,Medium,5G
C00116,5.0,100,50,180,Netflix,High,5G
C00117,1.5,300,100,365,Hotstar,High,4G
C00118,3.0,300,50,365,No OTT,Low,5G
C00119,5.0,200,50,28,No OTT,High,4G
C00120,2.0,200,Unlimited,180,Hotstar,High,5G
C00121,1.5,300,200,180,Amazon Prime,Medium,4G
C00122,5.0,300,100,28,No OTT,Low,4G
C00123,3.0,200,Unlimited,28,Netflix,Medium,5G
C00124,1.0,200,200,180,Amazon Prime,High,5G
C00125,1.5,100,200,56,Netflix,Low,4G
C00126,5.0,100,200,365,Netflix,Medium,4G
C00127,1.5,100,Unlimited,180,No OTT,High,5G
C00128,3.0,200,100,84,No OTT,Low,4G
C00129,1.5,Unlimited,Unlimited,28,Netflix,High,5G
C00130,5.0,300,Unlimited,56,Netflix,Medium,5G
C00131,3.0,Unlimited,200,365,No OTT,Low,5G
C00132,5.0,Unlimited,50,365,Netflix,Medium,5G
C00133,3.0,300,Unlimited,365,Netflix,High,5G
C00134,1.5,200,Unlimited,180,Amazon Prime,High,5G
C00135,1.0,100,100,180,No OTT,Low,5G
C00136,1.0,300,Unlimited,84,Netflix,Medium,5G
C00137,3.0,Unlimited,200,28,Hotstar,Medium,5G
C00138,3.0,300,50,180,Hotstar,High,5G
C00139,3.0,100,50,28,No OTT,High,5G
C00140,1.0,100,50,365,Amazon Prime,High,4G
C00141,2.0,100,Unlimited,84,No OTT,Medium,4G
C00142,3.0,300,200,180,No OTT,Low,4G
C00143,2.0,200,50,180,Hotstar,High,5G
C00144,3.0,Unlimited,50,56,No OTT,High,4G
C00145,5.0,100,50,180,Amazon Prime,Medium,5G
C00146,1.0,300,100,56,Netflix,Low,5G
C00147,1.5,300,Unlimited,84,Netflix,High,4G
C00148,2.0,100,200,56,No OTT,Low,5G
C00149,3.0,300,50,84,Amazon Prime,Low,4G
C00150,1.0,200,Unlimited,84,No OTT,Medium,4G
C00151,5.0,200,Unlimited,365,No OTT,Low,5G
C00152,3.0,200,100,180,No OTT,Medium,5G
C00153,2.0,200,100,84,No OTT,High,4G
C00154,2.0,Unlimited,Unlimited,84,No OTT,High,5G
C00155,1.0,Unlimited,Unlimited,180,No OTT,Medium,5G
C00156,2.0,300,100,365,Hotstar,High,4G
C00157,1.0,100,200,365,Hotstar,Medium,4G
C00158,1.5,200,100,180,Netflix,Medium,5G
C00159,5.0,100,50,84,No OTT,Medium,5G
C00160,5.0,300,200,365,Hotstar,Low,4G
C00161,1.5,200,100,365,Amazon Prime,Low,5G
C00162,1.0,100,200,56,No OTT,Medium,5G
C00163,1.5,200,200,28,No OTT,High,5G
C00164,2.0,100,Unlimited,84,Amazon Prime,Low,4G
C00165,3.0,300,100,84,Netflix,Medium,4G
C00166,1.5,200,Unlimited,365,Hotstar,Medium,4G
C00167,3.0,300,100,56,Netflix,Medium,5G
C00168,5.0,100,50,56,Netflix,High,4G
C00169,2.0,Unlimited,Unlimited,84,No OTT,High,5G
C00170,1.0,300,Unlimited,365,No OTT,High,5G
C00171,5.0,Unlimited,200,84,No OTT,Low,5G
C00172,5.0,100,100,28,Hotstar,High,5G
C00173,1.0,300,50,180,No OTT,Low,4G
C00174,1.0,Unlimited,200,84,Amazon Prime,Medium,5G
C00175,1.5,Unlimited,100,365,No OTT,High,4G
C00176,5.0,Unlimited,Unlimited,180,No OTT,Low,4G
C00177,2.0,200,200,180,No OTT,High,5G
C00178,1.5,Unlimited,100,28,No OTT,High,4G
C00179,2.0,300,200,365,Hotstar,Low,5G
C00180,1.0,200,100,84,Netflix,Low,4G
C00181,2.0,100,Unlimited,365,Netflix,Low,5G
C00182,3.0,300,Unlimited,365,No OTT,High,5G
C00183,2.0,200,Unlimited,84,No OTT,Medium,5G
C00184,3.0,100,100,56,Amazon Prime,High,5G
C00185,3.0,100,50,84,No OTT,High,5G
C00186,1.5,200,100,365,No OTT,High,4G
C00187,1.5,300,Unlimited,84,Amazon Prime,Low,5G
C00188,3.0,100,200,365,Netflix,Low,5G
C00189,2.0,200,50,365,No OTT,High,4G
C00190,5.0,Unlimited,Unlimited,84,Amazon Prime,High,5G
C00191,3.0,Unlimited,200,365,No OTT,Low,5G
C00192,1.0,200,Unlimited,84,Netflix,High,5G
C00193,3.0,100,50,28,No OTT,Low,5G
C00194,1.5,100,Unlimited,84,No OTT,High,4G
C00195,1.5,200,50,28,Netflix,Medium,5G
C00196,1.5,300,Unlimited,180,Netflix,High,4G
C00197,1.5,100,50,365,No OTT,Medium,5G
C00198,3.0,300,100,180,No OTT,Low,4G
C00199,2.0,200,100,56,No OTT,Medium,4G
C00200,1.0,300,Unlimited,56,No OTT,Low,4G
C00201,1.0,Unlimited,100,56,Amazon Prime,High,4G
C00202,1.0,Unlimited,100,365,No OTT,Low,4G
C00203,3.0,Unlimited,Unlimited,56,No OTT,Low,4G
C00204,1.0,200,50,28,Hotstar,Low,4G
C00205,5.0,200,Unlimited,56,No OTT,High,5G
C00206,5.0,Unlimited,100,365,Hotstar,High,5G
C00207,2.0,100,200,180,No OTT,Low,4G
C00208,2.0,Unlimited,100,365,No OTT,High,5G
C00209,1.0,Unlimited,50,84,Amazon Prime,Medium,5G
C00210,1.0,Unlimited,100,365,Amazon Prime,Low,4G
C00211,2.0,Unlimited,100,180,Hotstar,High,4G
C00212,2.0,Unlimited,Unlimited,84,No OTT,Medium,5G
C00213,1.5,Unlimited,50,180,Netflix,Medium,4G
C00214,2.0,300,200,84,No OTT,Low,5G
C00215,1.5,100,50,56,No OTT,High,4G
C00216,1.5,200,200,56,Netflix,High,5G
C00217,5.0,100,50,28,Amazon Prime,Low,4G
C00218,3.0,200,50,365,No OTT,Low,5G
C00219,5.0,300,200,84,Hotstar,Low,5G
C00220,2.0,200,50,180,Amazon Prime,Low,5G
C00221,2.0,Unlimited,Unlimited,84,Amazon Prime,High,5G
C00222,2.0,Unlimited,200,84,No OTT,High,5G
C00223,5.0,100,Unlimited,180,No OTT,Medium,5G
C00224,5.0,Unlimited,200,84,No OTT,Medium,5G
C00225,1.5,200,50,365,No OTT,Low,5G
C00226,2.0,100,100,180,Amazon Prime,Medium,4G
C00227,5.0,Unlimited,200,84,No OTT,Low,5G
C00228,1.5,Unlimited,50,365,Netflix,Low,4G
C00229,2.0,200,100,84,No OTT,Low,5G
C00230,5.0,300,50,56,No OTT,Medium,5G
C00231,1.0,Unlimited,Unlimited,180,Hotstar,High,5G
C00232,5.0,100,100,180,Amazon Prime,Medium,4G
C00233,3.0,100,Unlimited,56,Netflix,Low,5G
C00234,1.0,300,50,180,Hotstar,High,5G
C00235,3.0,200,200,28,Amazon Prime,Low,4G
C00236,1.0,100,50,365,Hotstar,High,4G
C00237,1.0,200,50,180,Hotstar,Low,4G
C00238,5.0,Unlimited,100,56,Netflix,Medium,5G
C00239,2.0,100,50,84,Netflix,Low,4G
C00240,1.5,100,100,365,No OTT,Medium,5G
C00241,1.5,200,Unlimited,28,No OTT,High,5G
C00242,3.0,100,200,365,Amazon Prime,Medium,5G
C00243,1.5,Unlimited,200,365,Netflix,High,4G
C00244,3.0,300,50,365,No OTT,High,5G
C00245,3.0,Unlimited,50,365,Hotstar,Medium,5G
C00246,5.0,100,Unlimited,56,Netflix,Low,5G
C00247,2.0,300,50,28,No OTT,Medium,4G
C00248,1.5,100,100,28,Netflix,Medium,5G
C00249,1.5,Unlimited,200,84,Hotstar,High,4G
C00250,1.5,200,100,84,Hotstar,Low,4G
C00251,1.0,Unlimited,Unlimited,180,Hotstar,Medium,4G
C00252,1.5,300,50,56,Amazon Prime,Medium,5G
C00253,3.0,200,Unlimited,56,Netflix,Medium,5G
C00254,3.0,Unlimited,200,180,Netflix,Medium,5G
C00255,1.0,100,200,84,Netflix,Low,5G
C00256,1.0,300,Unlimited,28,Amazon Prime,Low,4G
C00257,1.5,200,100,84,Netflix,Medium,4G
C00258,1.5,300,100,56,Hotstar,High,4G
C00259,1.0,200,50,84,No OTT,Medium,4G
C00260,1.5,100,Unlimited,28,Hotstar,Low,4G
C00261,2.0,100,Unlimited,180,Amazon Prime,High,5G
C00262,5.0,Unlimited,200,28,No OTT,High,4G
C00263,2.0,Unlimited,100,365,No OTT,Medium,5G
C00264,2.0,Unlimited,100,28,No OTT,Medium,4G
C00265,1.5,100,Unlimited,365,No OTT,Medium,5G
C00266,2.0,300,Unlimited,365,No OTT,Low,4G
C00267,3.0,200,Unlimited,56,Hotstar,Low,4G
C00268,1.0,300,100,56,No OTT,High,5G
C00269,1.0,200,200,84,No OTT,Low,4G
C00270,1.5,300,100,84,No OTT,Low,5G
C00271,3.0,Unlimited,100,365,No OTT,High,4G
C00272,2.0,100,100,84,Amazon Prime,High,4G
C00273,5.0,Unlimited,Unlimited,28,Hotstar,Medium,4G
C00274,1.0,100,50,365,No OTT,Medium,5G
C00275,3.0,100,200,28,No OTT,Low,5G
C00276,1.0,200,Unlimited,84,No OTT,Medium,5G
C00277,3.0,200,50,180,Hotstar,Medium,4G
C00278,5.0,100,Unlimited,56,No OTT,Low,4G
C00279,1.0,100,100,365,Amazon Prime,Medium,4G
C00280,1.5,Unlimited,50,365,No OTT,Medium,5G
C00281,1.0,100,100,28,Amazon Prime,Medium,4G
C00282,2.0,200,Unlimited,180,No OTT,High,4G
C00283,2.0,Unlimited,50,365,Netflix,Low,5G
C00284,5.0,100,100,28,No OTT,High,5G
C00285,1.5,100,50,84,Hotstar,Medium,5G
C00286,1.5,300,50,180,No OTT,Low,4G
C00287,1.0,100,Unlimited,28,No OTT,High,5G
C00288,1.5,100,Unlimited,28,Hotstar,Medium,4G
C00289,5.0,200,50,180,Hotstar,Low,4G
C00290,2.0,100,100,365,No OTT,Low,4G
C00291,5.0,200,200,180,Netflix,Low,4G
C00292,3.0,200,200,365,No OTT,Medium,4G
C00293,1.0,300,Unlimited,180,No OTT,Medium,4G
C00294,1.0,Unlimited,50,84,Amazon Prime,Low,4G
C00295,1.5,200,200,180,Hotstar,Medium,4G
C00296,1.0,300,100,56,No OTT,Medium,4G
C00297,3.0,Unlimited,100,180,Hotstar,High,4G
C00298,1.5,100,200,365,Hotstar,Medium,5G
C00299,1.5,100,200,28,No OTT,Medium,4G
C00300,3.0,200,100,28,Amazon Prime,High,5G
C00301,3.0,Unlimited,Unlimited,365,Amazon Prime,Medium,4G
C00302,5.0,100,100,365,Netflix,Medium,4G
C00303,3.0,300,Unlimited,56,No OTT,High,4G
C00304,1.0,200,50,28,Amazon Prime,Low,5G
C00305,3.0,100,100,365,No OTT,Low,5G
C00306,5.0,300,50,56,Hotstar,Medium,5G
C00307,1.5,Unlimited,200,84,Netflix,High,4G
C00308,1.0,200,Unlimited,84,No OTT,Low,5G
C00309,1.0,Unlimited,100,365,No OTT,High,4G
C00310,1.5,300,200,84,No OTT,Low,4G
C00311,1.0,100,100,28,No OTT,Medium,5G
C00312,3.0,Unlimited,200,365,No OTT,High,4G
C00313,2.0,300,50,56,No OTT,Medium,5G
C00314,2.0,300,200,180,No OTT,High,5G
C00315,1.0,300,100,84,No OTT,High,4G
C00316,5.0,100,200,365,Netflix,Medium,4G
C00317,2.0,Unlimited,Unlimited,84,No OTT,Medium,4G
C00318,2.0,Unlimited,Unlimited,180,Amazon Prime,High,4G
C00319,2.0,Unlimited,200,28,No OTT,Low,5G
C00320,5.0,Unlimited,100,84,Amazon Prime,Medium,5G
C00321,3.0,100,Unlimited,56,Hotstar,Low,5G
C00322,1.0,300,50,56,Amazon Prime,High,4G
C00323,1.5,Unlimited,50,56,Hotstar,High,4G
C00324,2.0,200,100,180,Hotstar,High,5G
C00325,1.0,300,50,180,Amazon Prime,Low,4G
C00326,1.0,200,Unlimited,28,No OTT,Medium,4G
C00327,1.0,100,50,56,Netflix,Medium,4G
C00328,1.5,200,200,84,No OTT,Medium,5G
C00329,1.0,Unlimited,Unlimited,56,Netflix,Medium,4G
C00330,1.5,100,100,28,Amazon Prime,High,4G
C00331,2.0,300,Unlimited,84,Netflix,Low,5G
C00332,1.0,300,50,180,No OTT,High,4G
C00333,3.0,300,50,56,Amazon Prime,Medium,4G
C00334,2.0,200,Unlimited,365,Netflix,Medium,4G
C00335,2.0,100,Unlimited,84,Hotstar,High,4G
C00336,1.5,Unlimited,100,28,Hotstar,High,5G
C00337,5.0,100,100,56,Hotstar,Medium,5G
C00338,5.0,200,50,84,Amazon Prime,High,5G
C00339,3.0,300,100,365,Amazon Prime,Low,4G
C00340,2.0,300,50,28,No OTT,Medium,4G
C00341,1.5,100,Unlimited,56,No OTT,Medium,4G
C00342,1.0,100,50,365,Hotstar,High,4G
C00343,1.0,100,Unlimited,84,No OTT,High,4G
C00344,1.0,100,200,28,No OTT,Low,4G
C00345,5.0,300,200,180,No OTT,High,5G
C00346,3.0,Unlimited,200,365,Amazon Prime,Low,5G
C00347,5.0,100,200,180,Netflix,Low,4G
C00348,2.0,300,Unlimited,56,Hotstar,High,4G
C00349,1.0,100,50,56,Hotstar,High,4G
C00350,3.0,200,200,180,Amazon Prime,High,4G
C00351,3.0,200,200,180,Netflix,Low,4G
C00352,5.0,200,100,84,Netflix,Medium,4G
C00353,1.0,200,200,28,No OTT,High,5G
C00354,2.0,200,Unlimited,28,No OTT,Low,5G
C00355,3.0,Unlimited,100,180,No OTT,Low,5G
C00356,1.5,Unlimited,Unlimited,84,No OTT,High,5G
C00357,3.0,200,50,56,No OTT,Medium,5G
C00358,2.0,300,200,56,No OTT,High,5G
C00359,1.5,Unlimited,Unlimited,84,Amazon Prime,Medium,4G
C00360,3.0,100,200,84,No OTT,Medium,4G
C00361,1.5,300,Unlimited,56,Amazon Prime,High,4G
C00362,5.0,100,100,56,Hotstar,Low,4G
C00363,2.0,200,200,180,Netflix,Low,5G
C00364,3.0,100,50,365,Hotstar,High,4G
C00365,3.0,100,200,365,Netflix,High,4G
C00366,1.5,200,200,180,Hotstar,High,4G
C00367,5.0,Unlimited,200,84,No OTT,High,4G
C00368,1.0,300,100,84,No OTT,Low,4G
C00369,3.0,Unlimited,100,84,No OTT,High,5G
C00370,2.0,Unlimited,200,365,Hotstar,Medium,4G
C00371,1.5,100,100,365,Amazon Prime,Low,5G
C00372,3.0,Unlimited,200,365,Amazon Prime,Low,5G
C00373,3.0,100,200,180,Hotstar,Low,4G
C00374,1.5,300,50,84,No OTT,Medium,5G
C00375,3.0,100,50,28,Hotstar,Low,5G
C00376,3.0,100,200,365,No OTT,High,5G
C00377,2.0,200,50,180,Hotstar,Low,5G
C00378,5.0,200,Unlimited,180,Amazon Prime,High,5G
C00379,3.0,300,50,180,Amazon Prime,Medium,4G
C00380,1.0,200,200,84,Netflix,Medium,5G
C00381,1.0,Unlimited,100,365,Netflix,Medium,4G
C00382,1.5,100,Unlimited,56,Netflix,Medium,5G
C00383,1.0,Unlimited,50,84,No OTT,Low,5G
C00384,3.0,200,100,84,No OTT,Low,4G
C00385,5.0,100,Unlimited,56,No OTT,Low,4G
C00386,3.0,100,200,84,Amazon Prime,High,4G
C00387,5.0,100,Unlimited,180,Amazon Prime,Medium,4G
C00388,1.5,300,Unlimited,365,Netflix,Low,4G
C00389,1.0,Unlimited,200,56,Netflix,Medium,4G
C00390,1.0,300,100,56,No OTT,Low,5G
C00391,5.0,300,100,365,No OTT,Low,4G
C00392,5.0,100,200,84,No OTT,High,4G
C00393,1.0,200,Unlimited,180,Amazon Prime,Medium,5G
C00394,2.0,200,Unlimited,84,Amazon Prime,Medium,4G
C00395,3.0,200,Unlimited,56,Hotstar,Medium,5G
C00396,5.0,200,100,56,Amazon Prime,High,5G
C00397,5.0,200,50,84,No OTT,High,4G
C00398,5.0,100,Unlimited,180,Netflix,Low,5G
C00399,3.0,300,200,84,Hotstar,High,5G
C00400,5.0,200,200,365,Hotstar,High,5G
C00401,5.0,Unlimited,100,180,No OTT,Low,5G
C00402,1.0,300,100,180,No OTT,Medium,5G
C00403,2.0,Unlimited,Unlimited,180,Netflix,Low,5G
C00404,2.0,Unlimited,200,28,Hotstar,Medium,5G
C00405,5.0,100,100,28,Netflix,Low,5G
C00406,1.5,Unlimited,Unlimited,28,Amazon Prime,Medium,4G
C00407,1.0,300,Unlimited,365,Netflix,Medium,4G
C00408,2.0,Unlimited,Unlimited,56,No OTT,Medium,5G
C00409,1.0,100,Unlimited,365,Amazon Prime,High,5G
C00410,1.0,200,100,56,Amazon Prime,Medium,4G
C00411,1.0,Unlimited,200,84,Hotstar,High,5G
C00412,1.0,100,200,365,Netflix,Medium,4G
C00413,1.0,300,Unlimited,180,Hotstar,High,4G
C00414,2.0,100,100,365,Netflix,Medium,5G
C00415,1.0,Unlimited,Unlimited,84,No OTT,High,5G
C00416,2.0,Unlimited,Unlimited,28,No OTT,High,4G
C00417,2.0,Unlimited,200,28,No OTT,High,5G
C00418,2.0,Unlimited,100,365,Netflix,High,5G
C00419,1.0,300,50,28,No OTT,Low,5G
C00420,3.0,300,100,180,Hotstar,High,5G
C00421,2.0,Unlimited,100,28,Hotstar,Medium,4G
C00422,1.5,200,100,180,No OTT,Medium,5G
C00423,1.0,200,100,28,Hotstar,Medium,4G
C00424,3.0,200,100,56,Hotstar,Low,5G
C00425,2.0,200,100,365,Amazon Prime,High,5G
C00426,1.0,300,50,180,No OTT,Medium,4G
C00427,2.0,300,50,180,Netflix,Medium,5G
C00428,3.0,300,50,56,Netflix,Medium,5G
C00429,3.0,100,50,28,Hotstar,High,5G
C00430,3.0,300,100,56,Amazon Prime,High,5G
C00431,1.5,300,Unlimited,180,Netflix,High,4G
C00432,5.0,300,Unlimited,180,No OTT,Low,4G
C00433,2.0,Unlimited,100,28,No OTT,High,5G
C00434,1.5,Unlimited,Unlimited,56,Amazon Prime,Low,4G
C00435,2.0,100,100,365,No OTT,Low,4G
C00436,2.0,300,100,28,No OTT,Medium,5G
C00437,1.5,300,200,365,No OTT,High,5G
C00438,3.0,200,Unlimited,180,No OTT,Medium,4G
C00439,5.0,200,100,365,No OTT,Low,4G
C00440,1.0,200,100,365,Hotstar,High,4G
C00441,5.0,Unlimited,50,56,Netflix,High,4G
C00442,1.5,300,100,56,Netflix,Low,4G
C00443,2.0,100,Unlimited,365,Amazon Prime,Medium,4G
C00444,1.5,100,100,365,No OTT,Medium,4G
C00445,1.5,300,100,180,Amazon Prime,High,4G
C00446,5.0,200,100,365,Hotstar,Medium,5G
C00447,1.0,300,50,365,Hotstar,Medium,5G
C00448,3.0,300,Unlimited,84,Netflix,Medium,5G
C00449,1.0,100,Unlimited,84,No OTT,High,4G
C00450,3.0,Unlimited,100,180,No OTT,High,5G
C00451,2.0,Unlimited,100,180,No OTT,Medium,5G
C00452,5.0,100,100,365,Amazon Prime,High,4G
C00453,3.0,100,200,180,No OTT,High,4G
C00454,3.0,300,50,180,Hotstar,Medium,5G
C00455,5.0,200,200,28,No OTT,Low,4G
C00456,3.0,300,50,84,Netflix,High,4G
C00457,3.0,100,100,365,Amazon Prime,Low,5G
C00458,5.0,Unlimited,200,180,Amazon Prime,High,4G
C00459,3.0,200,50,365,Netflix,High,4G
C00460,3.0,200,200,28,No OTT,Low,4G
C00461,5.0,200,Unlimited,28,No OTT,Medium,4G
C00462,5.0,300,200,28,Netflix,Medium,5G
C00463,3.0,300,50,56,Hotstar,Low,5G
C00464,1.0,Unlimited,200,56,No OTT,High,4G
C00465,2.0,300,100,180,No OTT,Low,4G
C00466,1.5,200,200,180,Hotstar,Medium,4G
C00467,1.0,100,Unlimited,180,No OTT,Medium,4G
C00468,5.0,300,200,28,Amazon Prime,Low,4G
C00469,1.5,100,50,180,Amazon Prime,Low,5G
C00470,1.0,300,Unlimited,365,Hotstar,Medium,4G
C00471,2.0,Unlimited,200,28,Hotstar,Medium,5G
C00472,1.5,100,50,28,Amazon Prime,Medium,4G
C00473,1.5,100,50,84,Netflix,Medium,5G
C00474,2.0,200,50,180,Netflix,Medium,4G
C00475,1.5,Unlimited,50,365,No OTT,High,4G
C00476,5.0,Unlimited,Unlimited,56,Netflix,Medium,5G
C00477,3.0,100,Unlimited,56,Netflix,Medium,4G
C00478,2.0,300,50,28,No OTT,High,4G
C00479,1.5,300,Unlimited,180,Netflix,Low,4G
C00480,3.0,300,Unlimited,180,Netflix,Low,4G
C00481,3.0,300,100,56,Hotstar,Low,4G
C00482,1.0,Unlimited,200,56,Netflix,Medium,5G
C00483,2.0,300,Unlimited,180,No OTT,Low,5G
C00484,3.0,Unlimited,Unlimited,56,No OTT,Medium,4G
C00485,1.5,200,200,180,Hotstar,Medium,5G
C00486,3.0,Unlimited,50,28,Netflix,Low,4G
C00487,1.0,100,200,28,Amazon Prime,High,5G
C00488,3.0,100,100,84,No OTT,High,5G
C00489,1.5,200,200,56,Netflix,High,4G
C00490,2.0,Unlimited,100,84,Netflix,High,4G
C00491,1.5,200,50,28,Hotstar,High,5G
C00492,1.5,100,Unlimited,28,Hotstar,Medium,5G
C00493,1.0,300,200,365,No OTT,Medium,5G
C00494,1.5,200,Unlimited,180,No OTT,Low,4G
C00495,3.0,300,100,28,No OTT,Low,4G
C00496,1.0,Unlimited,100,28,Amazon Prime,Low,4G
C00497,1.0,100,50,56,No OTT,High,5G
C00498,2.0,300,50,84,No OTT,Low,5G
