Customer_ID,Previous_Plan_ID,Usage_Data_GB,Usage_Calls,Usage_SMS,Renewed,Previous_Speed,Previous_Validity,Previous_OTT
C00041,P13,39,1974,1044,0,5G,365,Amazon Prime
C00042,P09,85,5561,103,0,4G,365,No OTT
C00043,P13,192,1422,814,0,5G,365,Amazon Prime
C00044,P08,68,4411,971,0,4G,84,No OTT
C00045,P15,113,2032,410,1,4G,28,No OTT
C00046,P18,122,3667,706,0,4G,180,No OTT
C00047,P04,43,1315,1858,1,4G,84,No OTT
C00048,P22,127,5206,286,0,4G,365,No OTT
C00049,P13,136,6153,231,0,5G,365,Amazon Prime
C00050,P02,35,2345,424,1,5G,56,Netflix
C00051,P02,34,2540,855,1,5G,56,Netflix
C00052,P25,81,5609,1712,1,5G,365,Netflix
C00053,P10,87,9001,1490,1,4G,28,No OTT
C00054,P23,26,1248,1577,1,4G,28,No OTT
C00055,P02,131,2394,261,1,5G,56,Netflix
C00056,P09,127,3272,1709,1,4G,365,No OTT
C00057,P24,72,5023,1873,1,4G,180,No OTT
C00058,P11,186,8490,652,1,5G,28,Hotstar
C00059,P02,166,9569,1979,0,5G,56,Netflix
C00060,P21,133,6414,415,0,5G,28,No OTT
C00061,P15,26,5877,1586,0,4G,28,No OTT
C00062,P18,119,1450,1295,0,4G,180,No OTT
C00063,P17,164,4754,759,0,5G,28,Hotstar
C00064,P01,83,2772,390,1,4G,365,No OTT
C00065,P19,195,6058,1840,0,5G,84,Hotstar
C00066,P12,155,9622,1911,1,5G,56,Amazon Prime
C00067,P19,160,3295,1699,1,5G,84,Hotstar
C00068,P08,30,5335,1184,0,4G,84,No OTT
C00069,P07,71,7161,1458,1,4G,180,Hotstar
C00070,P09,62,4886,916,1,4G,365,No OTT
C00071,P04,26,7178,1495,0,4G,84,No OTT
C00072,P08,83,3870,127,1,4G,84,No OTT
C00073,P14,31,5983,552,0,5G,28,No OTT
C00074,P11,199,2712,632,0,5G,28,Hotstar
C00075,P06,89,1756,1105,1,5G,365,Netflix
C00076,P02,35,6797,546,0,5G,56,Netflix
C00077,P19,108,6971,357,1,5G,84,Hotstar
C00078,P11,23,4644,892,0,5G,28,Hotstar
C00079,P02,70,9690,644,0,5G,56,Netflix
C00080,P09,152,4673,529,0,4G,365,No OTT
C00081,P25,161,8472,1528,0,5G,365,Netflix
C00082,P15,57,2302,1335,1,4G,28,No OTT
C00083,P07,189,7252,1112,0,4G,180,Hotstar
C00084,P06,92,1903,1801,1,5G,365,Netflix
C00085,P20,163,4578,1147,0,5G,180,Netflix
C00086,P15,179,7712,1874,1,4G,28,No OTT
C00087,P01,56,2917,1229,0,4G,365,No OTT
C00088,P19,196,9416,218,1,5G,84,Hotstar
C00089,P10,87,6228,1268,1,4G,28,No OTT
C00090,P15,39,3914,1840,1,4G,28,No OTT
C00091,P25,101,8114,771,1,5G,365,Netflix
C00092,P11,149,5389,1519,1,5G,28,Hotstar
C00093,P15,69,9482,138,0,4G,28,No OTT
C00094,P18,33,7367,597,0,4G,180,No OTT
C00095,P01,68,3505,1792,1,4G,365,No OTT
C00096,P18,30,4214,1499,0,4G,180,No OTT
C00097,P23,153,3337,1520,1,4G,28,No OTT
C00098,P13,167,2958,108,0,5G,365,Amazon Prime
C00099,P20,149,1536,612,0,5G,180,Netflix
C00100,P12,41,6473,743,1,5G,56,Amazon Prime
C00101,P18,200,6717,1248,1,4G,180,No OTT
C00102,P24,143,3142,1132,1,4G,180,No OTT
C00103,P09,77,4476,125,0,4G,365,No OTT
C00104,P25,85,6188,1158,0,5G,365,Netflix
C00105,P23,54,1068,950,1,4G,28,No OTT
C00106,P13,77,6769,1041,0,5G,365,Amazon Prime
C00107,P21,154,5823,228,0,5G,28,No OTT
C00108,P12,36,1681,1120,1,5G,56,Amazon Prime
C00109,P19,95,4560,1060,1,5G,84,Hotstar
C00110,P03,162,5041,1545,0,4G,84,No OTT
C00111,P24,115,9861,429,1,4G,180,No OTT
C00112,P20,186,5153,340,1,5G,180,Netflix
C00113,P19,56,7825,146,0,5G,84,Hotstar
C00114,P24,183,7975,1251,0,4G,180,No OTT
C00115,P13,45,7666,1489,0,5G,365,Amazon Prime
C00116,P10,175,2508,595,0,4G,28,No OTT
C00117,P14,194,4976,311,1,5G,28,No OTT
C00118,P19,88,2161,1813,0,5G,84,Hotstar
C00119,P03,194,1503,620,1,4G,84,No OTT
C00120,P03,70,4426,1924,0,4G,84,No OTT
C00121,P25,104,1810,933,0,5G,365,Netflix
C00122,P19,129,2608,1935,1,5G,84,Hotstar
C00123,P19,49,8629,210,0,5G,84,Hotstar
C00124,P07,191,6404,992,1,4G,180,Hotstar
C00125,P25,187,1866,828,1,5G,365,Netflix
C00126,P04,95,2972,1576,0,4G,84,No OTT
C00127,P11,104,2874,720,0,5G,28,Hotstar
C00128,P03,124,8247,360,1,4G,84,No OTT
C00129,P08,25,3679,675,0,4G,84,No OTT
C00130,P15,50,7955,998,1,4G,28,No OTT
C00131,P05,73,3147,188,1,5G,84,No OTT
C00132,P04,89,2769,1939,0,4G,84,No OTT
C00133,P20,89,9909,1996,1,5G,180,Netflix
C00134,P16,97,4851,1599,1,5G,56,Amazon Prime
C00135,P16,55,1334,1616,0,5G,56,Amazon Prime
C00136,P19,121,1469,1082,1,5G,84,Hotstar
C00137,P07,53,9761,1478,0,4G,180,Hotstar
C00138,P19,37,5140,1150,0,5G,84,Hotstar
C00139,P23,45,1952,354,0,4G,28,No OTT
C00140,P10,100,5267,1494,0,4G,28,No OTT
C00141,P25,49,8018,1011,1,5G,365,Netflix
C00142,P02,113,8164,309,1,5G,56,Netflix
C00143,P02,182,9356,325,0,5G,56,Netflix
C00144,P02,24,3815,1730,0,5G,56,Netflix
C00145,P21,152,5249,1898,1,5G,28,No OTT
C00146,P22,145,5632,1467,0,4G,365,No OTT
C00147,P03,189,3953,345,0,4G,84,No OTT
C00148,P17,156,7805,149,0,5G,28,Hotstar
C00149,P25,61,6402,196,1,5G,365,Netflix
C00150,P05,88,1065,1625,0,5G,84,No OTT
C00151,P15,162,5795,1436,0,4G,28,No OTT
C00152,P12,35,9347,125,0,5G,56,Amazon Prime
C00153,P21,176,5976,771,0,5G,28,No OTT
C00154,P07,196,9140,278,0,4G,180,Hotstar
C00155,P19,145,7879,980,0,5G,84,Hotstar
C00156,P16,143,3445,1418,1,5G,56,Amazon Prime
C00157,P14,155,4024,1199,0,5G,28,No OTT
C00158,P01,130,6214,1415,1,4G,365,No OTT
C00159,P19,92,1058,217,0,5G,84,Hotstar
C00160,P20,177,6352,1520,1,5G,180,Netflix
C00161,P04,49,7889,1619,1,4G,84,No OTT
C00162,P08,153,2692,549,1,4G,84,No OTT
C00163,P13,44,7634,1957,0,5G,365,Amazon Prime
C00164,P23,161,6955,1537,0,4G,28,No OTT
C00165,P04,146,4002,1081,1,4G,84,No OTT
C00166,P25,170,7736,824,0,5G,365,Netflix
C00167,P10,193,3564,368,1,4G,28,No OTT
C00168,P20,164,2435,1349,1,5G,180,Netflix
C00169,P03,188,3138,1254,0,4G,84,No OTT
C00170,P23,164,3049,1410,0,4G,28,No OTT
C00171,P16,200,6574,1988,0,5G,56,Amazon Prime
C00172,P19,144,7200,1081,0,5G,84,Hotstar
C00173,P10,175,8526,687,1,4G,28,No OTT
C00174,P07,177,4590,1404,1,4G,180,Hotstar
C00175,P22,62,5488,658,0,4G,365,No OTT
C00176,P10,92,6983,576,1,4G,28,No OTT
C00177,P09,166,4441,1173,0,4G,365,No OTT
C00178,P12,64,7023,1380,1,5G,56,Amazon Prime
C00179,P08,56,7392,1640,0,4G,84,No OTT
C00180,P25,160,8590,121,0,5G,365,Netflix
C00181,P02,66,2567,832,0,5G,56,Netflix
C00182,P13,95,4426,761,1,5G,365,Amazon Prime
C00183,P15,150,2075,1391,1,4G,28,No OTT
C00184,P12,91,4625,437,1,5G,56,Amazon Prime
C00185,P13,155,4341,294,0,5G,365,Amazon Prime
C00186,P24,45,3839,1531,0,4G,180,No OTT
C00187,P21,157,1187,1125,0,5G,28,No OTT
C00188,P17,112,6069,1206,0,5G,28,Hotstar
C00189,P23,130,5703,643,0,4G,28,No OTT
C00190,P18,186,3314,853,0,4G,180,No OTT
C00191,P11,164,4232,649,0,5G,28,Hotstar
C00192,P01,186,1649,449,1,4G,365,No OTT
C00193,P19,162,2845,1249,0,5G,84,Hotstar
C00194,P08,52,7523,712,0,4G,84,No OTT
C00195,P04,98,3460,688,1,4G,84,No OTT
C00196,P10,200,8813,1035,1,4G,28,No OTT
C00197,P11,193,6894,1429,0,5G,28,Hotstar
C00198,P05,28,1678,298,0,5G,84,No OTT
C00199,P04,182,9377,1355,0,4G,84,No OTT
C00200,P03,80,1173,1353,1,4G,84,No OTT
C00201,P11,112,3998,864,0,5G,28,Hotstar
C00202,P03,56,3188,1376,1,4G,84,No OTT
C00203,P04,183,1175,361,1,4G,84,No OTT
C00204,P19,23,6109,422,1,5G,84,Hotstar
C00205,P13,173,1869,1880,1,5G,365,Amazon Prime
C00206,P21,161,2399,646,0,5G,28,No OTT
C00207,P01,147,6460,1591,1,4G,365,No OTT
C00208,P15,165,9386,121,0,4G,28,No OTT
C00209,P22,41,2769,1563,1,4G,365,No OTT
C00210,P01,37,6979,393,1,4G,365,No OTT
C00211,P22,49,1001,1588,1,4G,365,No OTT
C00212,P06,198,4271,1844,1,5G,365,Netflix
C00213,P01,45,9503,1695,0,4G,365,No OTT
C00214,P03,125,4344,422,1,4G,84,No OTT
C00215,P04,56,9190,1733,0,4G,84,No OTT
C00216,P14,178,7104,140,0,5G,28,No OTT
C00217,P03,94,2845,612,1,4G,84,No OTT
C00218,P03,33,7634,119,1,4G,84,No OTT
C00219,P18,76,2593,672,0,4G,180,No OTT
C00220,P23,90,7988,804,0,4G,28,No OTT
C00221,P07,107,1581,1617,0,4G,180,Hotstar
C00222,P18,100,3617,618,1,4G,180,No OTT
C00223,P21,180,4412,993,1,5G,28,No OTT
C00224,P07,193,8112,1883,0,4G,180,Hotstar
C00225,P09,134,4552,1258,1,4G,365,No OTT
C00226,P21,104,7188,390,1,5G,28,No OTT
C00227,P04,43,5557,1713,1,4G,84,No OTT
C00228,P17,29,8675,1189,0,5G,28,Hotstar
C00229,P02,109,2315,1627,0,5G,56,Netflix
C00230,P25,169,7031,377,1,5G,365,Netflix
C00231,P03,75,3422,451,1,4G,84,No OTT
C00232,P06,150,6106,971,1,5G,365,Netflix
C00233,P22,151,2130,729,0,4G,365,No OTT
C00234,P14,59,4249,1760,1,5G,28,No OTT
C00235,P02,62,9634,614,0,5G,56,Netflix
C00236,P21,184,9673,1238,1,5G,28,No OTT
C00237,P10,47,4022,1101,1,4G,28,No OTT
C00238,P22,73,9772,1004,0,4G,365,No OTT
C00239,P13,122,1680,1686,1,5G,365,Amazon Prime
C00240,P23,48,5050,1627,0,4G,28,No OTT
C00241,P08,106,7251,509,1,4G,84,No OTT
C00242,P07,167,7423,1901,1,4G,180,Hotstar
C00243,P09,98,7174,130,1,4G,365,No OTT
C00244,P20,113,9657,1154,1,5G,180,Netflix
C00245,P04,113,5661,1097,1,4G,84,No OTT
C00246,P22,162,7936,238,1,4G,365,No OTT
C00247,P16,107,4771,625,0,5G,56,Amazon Prime
C00248,P12,31,5576,613,1,5G,56,Amazon Prime
C00249,P25,35,1635,534,1,5G,365,Netflix
C00250,P21,73,6564,1348,1,5G,28,No OTT
C00251,P08,150,1399,1874,0,4G,84,No OTT
C00252,P12,42,7500,833,1,5G,56,Amazon Prime
C00253,P16,69,1734,1573,1,5G,56,Amazon Prime
C00254,P23,198,8094,678,0,4G,28,No OTT
C00255,P15,25,2340,268,1,4G,28,No OTT
C00256,P01,106,6496,474,0,4G,365,No OTT
C00257,P08,158,8896,1497,0,4G,84,No OTT
C00258,P01,160,9791,1348,0,4G,365,No OTT
C00259,P25,109,8068,245,0,5G,365,Netflix
C00260,P16,134,7999,983,0,5G,56,Amazon Prime
C00261,P06,157,1692,1633,1,5G,365,Netflix
C00262,P17,61,2092,856,1,5G,28,Hotstar
C00263,P15,98,7167,1869,1,4G,28,No OTT
C00264,P15,123,5370,954,1,4G,28,No OTT
C00265,P10,98,1557,1358,1,4G,28,No OTT
C00266,P08,119,1459,196,1,4G,84,No OTT
C00267,P13,44,7004,108,0,5G,365,Amazon Prime
C00268,P22,36,8764,1414,0,4G,365,No OTT
C00269,P15,176,3570,463,1,4G,28,No OTT
C00270,P01,115,8988,216,0,4G,365,No OTT
C00271,P08,36,1025,151,0,4G,84,No OTT
C00272,P16,132,3424,1637,1,5G,56,Amazon Prime
C00273,P15,142,9852,1167,1,4G,28,No OTT
C00274,P19,196,4755,1819,0,5G,84,Hotstar
C00275,P04,85,8869,131,0,4G,84,No OTT
C00276,P10,78,7574,681,1,4G,28,No OTT
C00277,P14,136,1769,199,1,5G,28,No OTT
C00278,P08,42,3076,1246,1,4G,84,No OTT
C00279,P21,55,2283,1693,0,5G,28,No OTT
C00280,P03,99,4405,298,1,4G,84,No OTT
C00281,P17,161,4568,234,0,5G,28,Hotstar
C00282,P18,147,6373,1956,1,4G,180,No OTT
C00283,P10,195,2552,1195,0,4G,28,No OTT
C00284,P14,131,7687,615,1,5G,28,No OTT
C00285,P11,81,5579,1152,1,5G,28,Hotstar
C00286,P24,32,7674,930,0,4G,180,No OTT
C00287,P14,105,3063,1977,0,5G,28,No OTT
C00288,P20,194,9044,1750,0,5G,180,Netflix
C00289,P18,162,7098,432,0,4G,180,No OTT
C00290,P06,46,6465,1008,0,5G,365,Netflix
C00291,P22,90,5346,1991,0,4G,365,No OTT
C00292,P04,113,3996,639,0,4G,84,No OTT
C00293,P07,157,9163,918,0,4G,180,Hotstar
C00294,P17,134,1650,922,0,5G,28,Hotstar
C00295,P09,112,8991,1376,0,4G,365,No OTT
C00296,P11,61,4751,1193,0,5G,28,Hotstar
C00297,P09,174,8912,330,1,4G,365,No OTT
C00298,P22,34,6890,1528,1,4G,365,No OTT
C00299,P25,40,1742,1297,1,5G,365,Netflix
C00300,P13,94,2206,1265,0,5G,365,Amazon Prime
C00301,P15,20,8817,1824,1,4G,28,No OTT
C00302,P21,182,6978,1918,0,5G,28,No OTT
C00303,P03,71,1928,1906,1,4G,84,No OTT
C00304,P05,66,6020,1482,1,5G,84,No OTT
C00305,P18,46,8634,1513,1,4G,180,No OTT
C00306,P02,52,1708,971,0,5G,56,Netflix
C00307,P24,95,2253,1942,0,4G,180,No OTT
C00308,P07,110,9388,1708,0,4G,180,Hotstar
C00309,P24,116,4061,1065,1,4G,180,No OTT
C00310,P09,135,5671,349,1,4G,365,No OTT
C00311,P03,65,3962,1359,0,4G,84,No OTT
C00312,P13,114,3630,983,1,5G,365,Amazon Prime
C00313,P06,42,4709,1918,1,5G,365,Netflix
C00314,P24,178,7772,1443,1,4G,180,No OTT
C00315,P10,30,7082,1806,1,4G,28,No OTT
C00316,P18,185,8486,950,1,4G,180,No OTT
C00317,P25,21,8343,895,1,5G,365,Netflix
C00318,P05,73,2608,336,0,5G,84,No OTT
C00319,P03,42,5447,585,0,4G,84,No OTT
C00320,P06,160,9826,441,1,5G,365,Netflix
C00321,P23,53,2569,795,0,4G,28,No OTT
C00322,P24,155,4114,542,0,4G,180,No OTT
C00323,P05,50,7258,1689,1,5G,84,No OTT
C00324,P03,152,1995,1063,0,4G,84,No OTT
C00325,P18,130,2856,1483,0,4G,180,No OTT
C00326,P11,99,6280,165,0,5G,28,Hotstar
C00327,P10,84,4262,657,1,4G,28,No OTT
C00328,P03,56,3783,421,0,4G,84,No OTT
C00329,P03,52,6535,1038,0,4G,84,No OTT
C00330,P20,189,1009,414,1,5G,180,Netflix
C00331,P18,49,7767,1550,1,4G,180,No OTT
C00332,P04,98,5183,775,0,4G,84,No OTT
C00333,P04,100,3196,239,0,4G,84,No OTT
C00334,P02,168,7691,1680,1,5G,56,Netflix
C00335,P09,136,5634,1085,1,4G,365,No OTT
C00336,P25,170,5840,743,0,5G,365,Netflix
C00337,P16,143,1416,1158,0,5G,56,Amazon Prime
C00338,P08,64,9169,850,1,4G,84,No OTT
C00339,P18,117,3452,1905,0,4G,180,No OTT
C00340,P01,109,6226,1151,1,4G,365,No OTT
C00341,P25,112,6350,1958,0,5G,365,Netflix
C00342,P22,140,3712,1374,0,4G,365,No OTT
C00343,P15,87,3661,1645,1,4G,28,No OTT
C00344,P20,149,5088,1843,1,5G,180,Netflix
C00345,P16,192,7365,538,1,5G,56,Amazon Prime
C00346,P10,111,7320,1277,1,4G,28,No OTT
C00347,P14,25,1231,482,1,5G,28,No OTT
C00348,P23,49,2414,719,1,4G,28,No OTT
C00349,P15,179,9506,1936,1,4G,28,No OTT
C00350,P06,167,3270,528,1,5G,365,Netflix
C00351,P14,197,6636,567,1,5G,28,No OTT
C00352,P02,176,2949,1343,1,5G,56,Netflix
C00353,P01,84,6851,1646,1,4G,365,No OTT
C00354,P15,43,3402,1041,0,4G,28,No OTT
C00355,P03,87,7941,830,0,4G,84,No OTT
C00356,P17,193,4383,1108,0,5G,28,Hotstar
C00357,P03,147,3804,1130,1,4G,84,No OTT
C00358,P15,187,6759,1565,1,4G,28,No OTT
C00359,P09,87,5523,1792,1,4G,365,No OTT
C00360,P17,185,1318,1837,1,5G,28,Hotstar
C00361,P18,178,6981,1369,1,4G,180,No OTT
C00362,P04,129,7236,1164,1,4G,84,No OTT
C00363,P08,196,5579,1288,0,4G,84,No OTT
C00364,P21,196,5994,341,0,5G,28,No OTT
C00365,P04,132,2468,1886,0,4G,84,No OTT
C00366,P07,35,2111,125,1,4G,180,Hotstar
C00367,P16,159,9974,421,1,5G,56,Amazon Prime
C00368,P06,161,4458,843,1,5G,365,Netflix
C00369,P13,161,5656,289,1,5G,365,Amazon Prime
C00370,P13,75,9905,1485,1,5G,365,Amazon Prime
C00371,P19,198,8364,202,1,5G,84,Hotstar
C00372,P16,42,5700,339,0,5G,56,Amazon Prime
C00373,P18,176,3325,141,0,4G,180,No OTT
C00374,P20,112,5937,174,0,5G,180,Netflix
C00375,P06,161,5169,1512,1,5G,365,Netflix
C00376,P11,23,6584,1578,0,5G,28,Hotstar
C00377,P14,56,5048,1712,0,5G,28,No OTT
C00378,P24,142,7975,543,0,4G,180,No OTT
C00379,P19,146,2317,1625,0,5G,84,Hotstar
C00380,P24,108,1606,1576,0,4G,180,No OTT
C00381,P05,60,5762,1234,1,5G,84,No OTT
C00382,P21,160,9937,1378,0,5G,28,No OTT
C00383,P08,156,8087,1661,0,4G,84,No OTT
C00384,P15,198,8798,1219,0,4G,28,No OTT
C00385,P01,160,9072,1907,1,4G,365,No OTT
C00386,P06,141,7357,489,1,5G,365,Netflix
C00387,P02,156,4735,495,0,5G,56,Netflix
C00388,P20,104,7833,602,0,5G,180,Netflix
C00389,P05,138,4225,1666,1,5G,84,No OTT
C00390,P16,199,7428,1858,0,5G,56,Amazon Prime
C00391,P09,141,2103,1947,0,4G,365,No OTT
C00392,P09,126,6671,341,1,4G,365,No OTT
C00393,P12,90,9080,199,0,5G,56,Amazon Prime
C00394,P12,114,2046,523,1,5G,56,Amazon Prime
C00395,P19,176,7432,1194,0,5G,84,Hotstar
C00396,P09,158,1184,1775,1,4G,365,No OTT
C00397,P25,30,6531,747,0,5G,365,Netflix
C00398,P21,99,2589,1773,0,5G,28,No OTT
C00399,P16,63,8597,176,0,5G,56,Amazon Prime
C00400,P02,104,4409,1862,1,5G,56,Netflix
C00401,P07,139,9781,655,0,4G,180,Hotstar
C00402,P22,177,5377,856,0,4G,365,No OTT
C00403,P03,166,5783,450,1,4G,84,No OTT
C00404,P19,157,3620,1882,0,5G,84,Hotstar
C00405,P12,42,1878,1124,0,5G,56,Amazon Prime
C00406,P24,92,6327,1919,0,4G,180,No OTT
C00407,P18,100,7925,1974,0,4G,180,No OTT
C00408,P19,128,5172,1771,1,5G,84,Hotstar
C00409,P25,52,4398,1727,0,5G,365,Netflix
C00410,P16,110,8230,132,0,5G,56,Amazon Prime
C00411,P25,102,1435,1726,0,5G,365,Netflix
C00412,P10,79,9018,226,0,4G,28,No OTT
C00413,P09,126,9363,1903,0,4G,365,No OTT
C00414,P13,67,4124,801,0,5G,365,Amazon Prime
C00415,P18,114,8446,664,1,4G,180,No OTT
C00416,P15,120,9719,1061,0,4G,28,No OTT
C00417,P03,190,3109,820,1,4G,84,No OTT
C00418,P11,100,5673,1266,0,5G,28,Hotstar
C00419,P21,29,8512,1588,0,5G,28,No OTT
C00420,P23,139,4917,919,1,4G,28,No OTT
C00421,P14,25,8731,1982,1,5G,28,No OTT
C00422,P17,24,9452,971,1,5G,28,Hotstar
C00423,P18,62,9194,507,1,4G,180,No OTT
C00424,P01,124,8410,1368,0,4G,365,No OTT
C00425,P24,50,5203,867,1,4G,180,No OTT
C00426,P22,44,7461,411,1,4G,365,No OTT
C00427,P24,200,1707,1426,0,4G,180,No OTT
C00428,P17,123,6288,1960,0,5G,28,Hotstar
C00429,P17,71,3914,1793,1,5G,28,Hotstar
C00430,P18,140,5839,1704,1,4G,180,No OTT
C00431,P10,161,9423,459,0,4G,28,No OTT
C00432,P20,52,8935,182,0,5G,180,Netflix
C00433,P01,110,8184,1897,0,4G,365,No OTT
C00434,P05,43,8140,925,0,5G,84,No OTT
C00435,P19,111,2136,290,1,5G,84,Hotstar
C00436,P17,33,2708,1185,0,5G,28,Hotstar
C00437,P19,38,1255,1651,1,5G,84,Hotstar
C00438,P05,146,2425,1046,1,5G,84,No OTT
C00439,P07,93,7550,1856,0,4G,180,Hotstar
C00440,P05,60,6446,234,1,5G,84,No OTT
C00441,P25,156,4395,682,0,5G,365,Netflix
C00442,P09,82,2874,1361,1,4G,365,No OTT
C00443,P22,93,2165,1187,0,4G,365,No OTT
C00444,P01,50,4812,1411,1,4G,365,No OTT
C00445,P09,101,2126,1760,0,4G,365,No OTT
C00446,P14,75,3660,819,1,5G,28,No OTT
C00447,P20,118,7061,1452,0,5G,180,Netflix
C00448,P24,70,2913,654,1,4G,180,No OTT
C00449,P22,160,7289,1616,0,4G,365,No OTT
C00450,P13,74,3813,1768,0,5G,365,Amazon Prime
C00451,P04,60,3740,1229,1,4G,84,No OTT
C00452,P15,159,2816,1850,0,4G,28,No OTT
C00453,P11,34,7156,1492,1,5G,28,Hotstar
C00454,P22,143,2898,1899,0,4G,365,No OTT
C00455,P13,146,7581,188,0,5G,365,Amazon Prime
C00456,P12,129,1127,1401,1,5G,56,Amazon Prime
C00457,P07,88,2706,775,0,4G,180,Hotstar
C00458,P22,75,2304,1728,0,4G,365,No OTT
C00459,P09,66,8052,1827,1,4G,365,No OTT
C00460,P22,190,7376,251,1,4G,365,No OTT
C00461,P25,144,4141,1585,0,5G,365,Netflix
C00462,P22,94,6592,241,1,4G,365,No OTT
C00463,P07,107,8977,1939,0,4G,180,Hotstar
C00464,P15,120,2240,454,0,4G,28,No OTT
C00465,P12,105,1929,1858,1,5G,56,Amazon Prime
C00466,P14,180,4828,1072,1,5G,28,No OTT
C00467,P25,63,6585,1699,0,5G,365,Netflix
C00468,P23,87,1596,934,1,4G,28,No OTT
C00469,P06,103,8712,1455,0,5G,365,Netflix
C00470,P15,151,1758,1791,0,4G,28,No OTT
C00471,P25,105,5973,1944,0,5G,365,Netflix
C00472,P24,171,9025,1782,1,4G,180,No OTT
C00473,P17,123,8007,1928,1,5G,28,Hotstar
C00474,P19,85,2146,1952,1,5G,84,Hotstar
C00475,P02,187,3321,1120,0,5G,56,Netflix
C00476,P22,197,3200,614,1,4G,365,No OTT
C00477,P25,119,4062,123,1,5G,365,Netflix
C00478,P07,133,4056,1472,0,4G,180,Hotstar
C00479,P18,23,7579,1429,0,4G,180,No OTT
C00480,P21,61,9491,1565,1,5G,28,No OTT
C00481,P13,172,7548,855,0,5G,365,Amazon Prime
C00482,P08,124,4304,1087,1,4G,84,No OTT
C00483,P06,168,3449,1197,0,5G,365,Netflix
C00484,P06,127,5642,375,0,5G,365,Netflix
C00485,P16,162,4384,1367,1,5G,56,Amazon Prime
C00486,P22,48,1734,270,0,4G,365,No OTT
C00487,P10,36,8581,298,0,4G,28,No OTT
C00488,P02,186,5906,1110,0,5G,56,Netflix
C00489,P13,52,5960,178,0,5G,365,Amazon Prime
C00490,P20,161,3266,1724,1,5G,180,Netflix
C00491,P24,79,9761,1603,0,4G,180,No OTT
C00492,P08,125,6190,826,0,4G,84,No OTT
C00493,P07,131,1838,306,0,4G,180,Hotstar
C00494,P05,185,5785,970,0,5G,84,No OTT
C00495,P07,75,7033,1929,1,4G,180,Hotstar
C00496,P21,159,4682,821,0,5G,28,No OTT
C00497,P23,46,8221,804,0,4G,28,No OTT
C00498,P24,185,2042,1047,0,4G,180,No OTT
C00499,P13,107,1532,1255,0,5G,365,Amazon Prime
C00500,P14,128,5941,909,1,5G,28,No OTT
C00501,P06,58,9216,1183,0,5G,365,Netflix
C00502,P20,147,8452,1610,0,5G,180,Netflix
C00503,P04,74,5297,223,1,4G,84,No OTT
C00504,P06,163,3470,1236,1,5G,365,Netflix
C00505,P06,169,7927,933,1,5G,365,Netflix
C00506,P19,45,2502,584,0,5G,84,Hotstar
C00507,P23,182,6410,1129,1,4G,28,No OTT
C00508,P23,60,4505,1598,1,4G,28,No OTT
C00509,P05,60,3120,1012,0,5G,84,No OTT
C00510,P11,86,3314,1551,1,5G,28,Hotstar
C00511,P02,81,2083,844,1,5G,56,Netflix
C00512,P03,69,8366,1647,1,4G,84,No OTT
